channel,v1,chisq,v3,v4,v5,v6,v7,nmass,m1,m2,tb,mu,oh2,v14,v15,si,v17,sv,at,ma,q3,tr
13,41.875944496,29.3479120482,0.659739172583,49760.822228276,7.82687956891E-27,6.9762603175476E-07,3.9000000000000026,87.754004899999998,-109.868302821,381.405070919,25.3612200133,113.564455637,8.8108334879901565E-002,1.391E-09,1.315E-09,1.0537534553405E-45,15.893960612966,1.1863596848836966E-026,-1.69422042E+03,7.43785229E+02,1.78854925E+03,3.05289011E+03
13,41.874285967,29.9485271403,0.69795753014,1383.553391646,8.2679044585654E-27,6.590459873601E-07,3.9000000000000026,87.736230899999995,-109.963368225,363.546268316,23.1919680903,113.164281614,8.5734762318979668E-002,6.976E-10,6.234E-10,4.9778794930113E-46,15.515001902633,1.1845856089419929E-026,3.44455922E+03,6.42662343E+02,-2.80198646E+03,-3.01235795E+03
13,41.8720221418,29.9052376018,0.696233242434,112.45617808505,6.8934871922301E-27,6.5377640119822E-07,3.9000000000000026,87.659021699999997,-109.6265991,493.269933026,31.0017299066,115.095009279,0.10931041587666945,2.58E-10,1.93E-10,2.1235942419222E-46,15.472795883079,9.9011175739479799E-027,3.35528712E+03,6.5229845E+02,-2.69737765E+03,-2.90026644E+03
13,41.8697241074,29.3821252818,0.661764047127,3687.7906146819,7.9190363989808E-27,6.951117680035E-07,3.9000000000000026,87.763537999999997,-108.83472548,371.141260365,30.979355447,113.806301046,8.7577138203620911E-002,1.431E-09,1.418E-09,1.1075349543227E-45,15.867819724863,1.1966555803931462E-026,2.61314807E+03,1.19208631E+03,-8.86360122E+02,-1.77205465E+03
13,41.8663297848,29.7602312375,0.68570757128,21199.963031668,6.9019964375105E-27,6.7028414676273E-07,3.9000000000000026,87.732175699999999,-109.024655361,469.746961669,22.3651576413,114.841467109,0.10670064224166748,1.096E-09,1.025E-09,9.9920260976587E-46,15.626628481982,1.0065510031669335E-026,3.52317195E+03,7.06003922E+02,-2.63528969E+03,-2.8927589E+03
13,41.862411118,29.8353599571,0.690259923003,1133.4171352291,6.8972405224149E-27,6.6491345198289E-07,3.9000000000000026,87.749481700000004,-107.727868357,437.54695005,30.8618857608,115.72789374,0.10835270679219203,8.658E-10,8.455E-10,8.219968135526E-46,15.571281858424,9.9922366815217117E-027,2.54225115E+03,1.07868142E+03,-8.832177E+02,-1.70893747E+03
13,41.8619031441,29.8870547822,0.694959381297,258.2902889628,9.0688805734477E-27,6.5985128741502E-07,3.9000000000000026,87.698472499999994,-110.836344721,429.685370224,24.0144970935,112.507170231,8.1837014089280055E-002,5.902E-10,5.038E-10,3.9161597843243E-46,15.527838384704,1.3049511694514379E-026,-1.57581552E+03,5.96567003E+02,1.81838311E+03,2.95034529E+03
13,41.8589875364,29.0634102316,0.64413048498,2574.7469173981,6.9042406500107E-27,7.1370858705152E-07,3.9000000000000026,87.712357100000006,-108.3348026,390.472583279,15.8986381463,113.968145239,9.4809142121852014E-002,6.818E-10,6.115E-10,5.3913199294652E-46,16.058702706788,1.0718698790082938E-026,3.42195439E+03,5.46678234E+02,-2.95258927E+03,-2.98495951E+03
13,41.8588734816,29.2254908942,0.654398500905,151.10130015931,6.8978044562803E-27,6.9797097942985E-07,3.9000000000000026,87.663879899999998,-109.436423315,389.293357617,27.8077721773,114.350502194,9.9754935629932151E-002,2.742E-10,2.11E-10,2.0921534246787E-46,15.909684822944,1.0540678877994095E-026,3.59400677E+03,6.25278961E+02,-2.63519388E+03,-2.89065083E+03
13,41.8575443258,29.6619938128,0.681341801017,116.60586173063,6.8940532585457E-27,6.6864065653355E-07,3.9000000000000026,87.645027400000004,-108.517498848,372.058804702,20.8089566636,114.634386481,0.10143295147199538,1.99E-10,1.439E-10,1.4918289685804E-46,15.621796483648,1.0118347719537197E-026,3.45171525E+03,5.31742387E+02,-2.99264459E+03,-2.90487781E+03
13,41.853981067,29.9068428682,0.696669835813,421.90344306121,6.9021328445999E-27,6.5830935119934E-07,3.9000000000000026,87.681851600000002,-108.342915905,399.69815284,19.8528099347,114.863617905,0.10518889856633337,4.823E-10,4.12E-10,4.1151065913639E-46,15.514728106098,9.9073226509731446E-027,3.48482394E+03,5.71741854E+02,-2.85381382E+03,-2.80281333E+03
13,41.851949116,29.521350553,0.672129682683,580.0601642325,6.9030769364765E-27,6.8293206589445E-07,3.9000000000000026,87.685953100000006,-109.37630292,468.921212384,23.6785837784,114.564241319,0.10460431132491688,5.978E-10,5.213E-10,5.1321643012045E-46,15.75784920616,1.0270453923297747E-026,3.49037354E+03,6.34367553E+02,-2.73587685E+03,-2.94814471E+03
13,41.8514258448,29.4843768321,0.669529067585,2931.1249058557,6.9045084753408E-27,6.8687321153633E-07,3.9000000000000026,87.704772100000000,-108.925059098,381.217414497,23.962405161,114.561174165,0.10093187233653231,8.076E-10,7.34E-10,6.8505703243083E-46,15.794315941997,1.0312485013153312E-026,3.44581579E+03,6.7829414E+02,-2.60234546E+03,-2.86461371E+03
